energy,Adipose,Air,Al,Au,Ba,Be,Bone,Ca,Cu,Er,Fe,Ga,Glass,Hf,I,Mg,Mn,Mo,Nb,Pb,Pd,Pmm,Pt,Rh,Si,Skeletal,Ti,Tiss,W,Wat,Y,Zn
32.75,0.02641,3.72e-05,0.2394,10.30004586,2.688,0.03197,0.2016,0.4836,7.48,12.51,4.913376,5.792,0.143,21.6953,3.27352,0.1288,4.055,21.7,17.65,26.786,32.454,0.03273,44.19,32.1419,0.26096,0.03486,1.721,0.035192,34.2,0.033,8.044,6.590892
33.25,0.02613,3.65e-05,0.2308,9.895144036,2.583,0.03179,0.1939,0.4635,7.17,12.06,4.708652,5.556,0.139,20.8967,17.2057,0.1244,3.884,20.9,16.97,25.7645,31.1318,0.03225,42.47,30.9009,0.25164,0.03413,1.648,0.034556,32.8,0.0324,7.731,6.312705
33.75,0.02575,3.58e-05,0.2227,9.490242212,2.4815,0.03179,0.1866,0.4449,6.87,11.6,4.519676,5.331,0.134,20.0981,16.5648,0.1202,3.727,20.0,16.28,24.8565,29.9298,0.03177,40.76,29.6599,0.24232,0.0336,1.584,0.03392,31.5,0.0318,7.419,6.055917
34.25,0.02546,3.52e-05,0.2148,9.121404726,2.387,0.0316,0.1801,0.4263,6.6,11.15,4.3307,5.119,0.13,19.2995,15.9732,0.1162,3.579,19.3,15.68,23.9485,28.848,0.03142,39.25,28.543,0.233,0.03297,1.516,0.033284,30.3,0.0313,7.106,5.813395
34.75,0.02508,3.46e-05,0.2078,8.806166116,2.2995,0.03142,0.174,0.4092,6.34,10.7,4.165346,4.912,0.126,18.634,15.3816,0.1126,3.43,18.6,15.08,23.0405,27.7662,0.03094,37.75,27.4261,0.224845,0.03245,1.457,0.032754,29.1,0.0307,6.838,5.585139
35.25,0.0248,3.4e-05,0.2008,8.490927505,2.2155,0.03123,0.1682,0.3937,6.09,10.34,3.999992,4.723,0.122,17.8354,14.8393,0.1091,3.296,17.9,14.48,22.246,26.6844,0.03058,36.47,26.4333,0.217156,0.03192,1.403,0.032224,28.2,0.0303,6.569,5.364016
35.75,0.02451,3.35e-05,0.1943,8.175688895,2.135,0.03123,0.1626,0.3782,5.85,9.973,3.842512,4.54,0.119,17.303,14.297,0.1058,3.169,17.3,13.97,21.4515,25.7228,0.03023,35.18,25.4405,0.2097,0.0314,1.348,0.031694,27.2,0.0298,6.346,5.164292
36.25,0.02432,3.29e-05,0.1884,7.860450285,2.058,0.03105,0.1574,0.3643,5.64,9.61,3.70078,4.369,0.116,16.6375,13.804,0.1027,3.05,16.7,13.45,20.657,24.7612,0.02987,33.89,24.5718,0.202943,0.03087,1.294,0.03127,26.3,0.0294,6.123,4.964568
36.75,0.02404,3.24e-05,0.1825,7.591612977,1.9845,0.03086,0.1524,0.3519,5.42,9.247,3.559048,4.204,0.112,16.1051,13.311,0.0997,2.931,16.2,12.94,19.976,23.9198,0.02963,32.6,23.7031,0.196186,0.03045,1.249,0.03074,25.3,0.0289,5.899,4.77911
37.25,0.02375,3.19e-05,0.1771,7.345735637,10.185,0.03086,0.1478,0.3379,5.22,8.93,3.42519,4.05,0.11,15.4396,12.8673,0.09692,2.827,15.5,12.51,19.295,23.0784,0.02927,31.53,22.8344,0.190128,0.03003,1.203,0.030316,24.3,0.0285,5.676,4.600785
